"","Entrez","Ensembl","Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","minus_log10_adj.pval"
"1","13406","ENSMUSG00000029307","Dmp1",19761.4998589595,-6.38012850971752,0.452167147494193,-14.1101107081192,3.29061000867405e-45,4.45416970774119e-41,40.3512332399891
"2","17395","ENSMUSG00000017737","Mmp9",3708.12439117154,-6.65917573496733,0.582421704893036,-11.4335981626755,2.84087830485006e-30,1.92270643672252e-26,25.7160870197885
"3","18295","ENSMUSG00000021390","Ogn",3940.64628921467,4.78963594607469,0.440872840138672,10.8639850542124,1.71115233581914e-27,7.72071933921597e-24,23.1123422345738
"4","634650","ENSMUSG00000092021","Gbp11",326.141524645997,6.68772468480805,0.652848528785866,10.2439147672517,1.26031251676272e-24,4.26489755672503e-21,20.370091396169
"5","76074","ENSMUSG00000034438","Gbp8",527.285701398121,6.63975397305734,0.685451924060497,9.68668077218983,3.43511143013383e-22,9.29953366365832e-19,18.0315388291211
"6","76293","ENSMUSG00000042436","Mfap4",2144.23104351376,5.33022266105988,0.564363093168533,9.44466908906841,3.56529063276232e-21,8.0432956675118e-18,17.0945659665568
"7","626578","ENSMUSG00000105096","Gbp10",420.629610191457,4.71579905529363,0.502040455964292,9.39326502330529,5.81685462299683e-21,1.12481348824121e-17,16.9489194844352
"8","16008","ENSMUSG00000039323","Igfbp2",8425.04098703033,4.43378007330015,0.481216253650362,9.21369558834895,3.15085835990539e-20,5.33125234495991e-17,16.2731707604632
"9","18164","ENSMUSG00000025582","Nptx1",2912.52384844887,-4.37740533475835,0.489058717168485,-8.95067438957497,3.53317126941395e-19,5.31388958919857e-16,15.274587473505
"10","13038","ENSMUSG00000028111","Ctsk",3054.09791545828,-5.76456188001564,0.659025044064284,-8.74710594375126,2.18894169266618e-18,2.96295147519294e-15,14.5282754609832
"11","19092","ENSMUSG00000029334","Prkg2",4098.65724216879,-4.43526679892169,0.517856668553554,-8.56466097329598,1.08394302755268e-17,1.33384116554119e-14,13.87489588334
"12","27047","ENSMUSG00000048368","Omd",437.129031145818,4.24048499300662,0.496446303716295,8.54167905222222,1.3228542120794e-17,1.49217955122556e-14,13.8261789158615
