	Entrez	Ensembl	Symbol	Ctrl1	Ctrl2	DT1	DT2
18399	75553	ENSMUSG00000021012	Zc3h14	1511	1466	730	414
20146	78733	ENSMUSG00000032783	Troap	150	110	0	34
29485	229933	ENSMUSG00000036960	Clca2	1	0	0	1
14520	69053	ENSMUSG00000022507	1810013L24Rik	1017	868	1411	469
28995	225027	ENSMUSG00000024097	Srsf7	1597	1108	598	837
41285	668225	ENSMUSG00000095440	Fignl2	71	26	31	91
5087	20358	ENSMUSG00000019647	Sema6a	1562	1173	916	110
18312	75430	ENSMUSG00000030649	Anapc15	275	212	90	111
15138	70134	ENSMUSG00000074217	Misp3	23	0	4	1
13991	68039	ENSMUSG00000025723	Nmb	32	25	85	21
9330	56070	ENSMUSG00000024498	Tcerg1	768	997	233	158
19880	78251	ENSMUSG00000090641	Zfp712	12	38	15	14
29302	228033	ENSMUSG00000018770	Atp5g3	4801	2978	2793	3619
50109	100503311	ENSMUSG00000010136	Pifo	0	0	0	0
26869	114889	ENSMUSG00000033080	Vsx1	0	0	0	0
3353	17281	ENSMUSG00000025241	Fyco1	207	566	100	68
27275	142980	ENSMUSG00000031639	Tlr3	112	113	435	84
21694	99899	ENSMUSG00000028037	Ifi44	52	25	1104	123
29698	231712	ENSMUSG00000042726	Trafd1	1150	800	1754	1547
29856	232974	ENSMUSG00000108367	Erfl	0	0	0	0
17443	74127	ENSMUSG00000037185	Krt80	75	15	3	6
17441	74125	ENSMUSG00000032468	Armc8	562	527	312	247
13556	67418	ENSMUSG00000015757	Ppil4	777	422	255	193
39566	654318	ENSMUSG00000085408	C530005A16Rik	6	1	0	0
16457	72425	ENSMUSG00000027132	Katnbl1	532	452	216	136
51231	100862383	ENSMUSG00000094511	Gm21693	0	0	0	0
15477	70834	ENSMUSG00000020859	Spag9	2013	2591	1344	422
37530	545641	ENSMUSG00000085022	Gm5860	0	0	0	0
1915	14583	ENSMUSG00000029992	Gfpt1	2624	2005	949	371
7057	27416	ENSMUSG00000022822	Abcc5	403	331	518	162
9949	58802	ENSMUSG00000054934	Kcnmb4	6	11	79	20
46112	100042757	ENSMUSG00000117662	Gm4013	34	19	29	52
8864	53602	ENSMUSG00000071379	Hpcal1	2725	2454	1296	1352
27989	210544	ENSMUSG00000022364	Tbc1d31	284	258	40	79
12566	65963	ENSMUSG00000029810	Tmem176b	1424	2718	3688	4005
50969	100628627	ENSMUSG00000093278	Mir5110	0	0	0	0
50931	100628583	ENSMUSG00000093017	Mir5108	0	0	0	0
1087	13113	ENSMUSG00000029727	Cyp3a13	0	0	0	0
36191	432442	ENSMUSG00000039166	Akap7	236	255	121	92
29117	226251	ENSMUSG00000025085	Ablim1	102	39	425	129
1530	13863	ENSMUSG00000026937	Lcn5	0	0	0	0
6297	22241	ENSMUSG00000029512	Ulk1	632	926	675	347
1094	13120	ENSMUSG00000028713	Cyp4b1	2	0	1	0
32630	269682	ENSMUSG00000029502	Golga3	1165	1776	360	162
47682	100316673	ENSMUSG00000080411	Mir1193	0	0	0	0
19048	76773	ENSMUSG00000022359	Wdyhv1	202	214	243	151
6161	22029	ENSMUSG00000026875	Traf1	206	105	247	143
330	11921	ENSMUSG00000073043	Atoh1	0	0	0	0
4955	20181	ENSMUSG00000015846	Rxra	1531	1704	1939	652
1110	13144	ENSMUSG00000034974	Dapk3	1790	1094	655	893
51814	102465982	ENSMUSG00000098464	Mir7002	0	0	0	0
51841	102466214	ENSMUSG00000098904	Mir6998	0	0	0	0
12525	64933	ENSMUSG00000031539	Ap3m2	1003	765	627	189
12483	64383	ENSMUSG00000015149	Sirt2	1213	1106	1271	734
2747	16325	ENSMUSG00000025405	Inhbc	0	0	0	0
5234	20564	ENSMUSG00000056427	Slit3	37	21	22	19
27095	117066	ENSMUSG00000074870	Cts3	0	0	0	0
14019	68087	ENSMUSG00000020935	Dcakd	1462	1595	1016	647
15898	71517	ENSMUSG00000030982	Vps35l	1274	1177	1005	448
9112	54151	ENSMUSG00000053929	Cyhr1	1960	1823	1588	1136
6723	24075	ENSMUSG00000043866	Taf10	2540	1617	1110	1534
1961	14651	ENSMUSG00000024158	Hagh	1001	602	317	561
12680	66179	ENSMUSG00000025169	Ogfod3	133	100	192	166
5492	20964	ENSMUSG00000037217	Syn1	348	440	63	7
36739	435528	ENSMUSG00000091043	Glyatl3	0	0	0	0
39665	664829	ENSMUSG00000095063	Slx	0	0	0	0
5040	20301	ENSMUSG00000073888	Ccl27a	50	41	76	175
9988	59010	ENSMUSG00000005803	Sqor	1242	423	325	421
13540	67391	ENSMUSG00000031198	Fundc2	1231	1323	1235	884
13537	67388	ENSMUSG00000027637	Rab5if	3261	2294	1760	1570
9654	56702	ENSMUSG00000058773	H1f5	4	5	1	5
9640	56642	ENSMUSG00000025172	Ankrd2	5	7	4	11
12664	66161	ENSMUSG00000030423	Pop4	198	157	127	84
13534	67383	ENSMUSG00000024726	Carnmt1	458	352	112	75
16080	71831	ENSMUSG00000031620	Iqcm	0	0	0	0
29464	229725	ENSMUSG00000027884	Clcc1	476	488	291	234
3253	17138	ENSMUSG00000055746	Magea2	0	0	0	0
2631	16201	ENSMUSG00000032178	Ilf3	1557	1644	1048	508
12780	66314	ENSMUSG00000000827	Tpd52l2	2017	1765	1155	1206
29760	232201	ENSMUSG00000030047	Arhgap25	92	5	60	120
6583	23825	ENSMUSG00000024844	Banf1	2741	1770	1122	2024
13671	67581	ENSMUSG00000022749	Tbc1d23	702	793	413	170
33952	321014	ENSMUSG00000060029	4930473A02Rik	6	4	0	0
20798	93742	ENSMUSG00000025812	Pard3	653	1372	506	155
4879	19885	ENSMUSG00000028150	Rorc	0	1	35	40
14379	68768	ENSMUSG00000075566	Krtap4-6	0	0	0	0
14704	69370	ENSMUSG00000107232	1700017L05Rik	0	0	0	0
19030	76728	ENSMUSG00000108676	1700123J17Rik	0	0	1	0
28174	213027	ENSMUSG00000011832	Evi5l	203	298	251	58
9963	58869	ENSMUSG00000027674	Pex5l	3	2	8	45
8834	53332	ENSMUSG00000015214	Mtmr1	268	248	217	69
9665	56717	ENSMUSG00000028991	Mtor	526	745	258	130
28937	224598	ENSMUSG00000044501	Zfp758	67	46	45	30
28229	213556	ENSMUSG00000040852	Plekhh2	934	917	220	112
33036	319387	ENSMUSG00000037605	Adgrl3	1783	1740	936	323
6993	27277	ENSMUSG00000021192	Golga5	688	768	363	216
6992	27276	ENSMUSG00000030701	Plekhb1	171	33	456	325
6991	27275	ENSMUSG00000022009	Nufip1	434	316	167	231
39390	636791	ENSMUSG00000094002	Gm9866	0	0	0	0
21477	98366	ENSMUSG00000026155	Smap1	962	622	275	189
16971	73407	ENSMUSG00000090206	Tepp	0	0	0	0
20792	93732	ENSMUSG00000021751	Acox2	0	0	4	0
15453	70791	ENSMUSG00000019143	Hars2	390	511	258	157
10041	59290	ENSMUSG00000000544	Gpa33	1	0	0	0
13742	67680	ENSMUSG00000009863	Sdhb	2160	1434	1696	1700
12809	66355	ENSMUSG00000000253	Gmpr	116	97	292	232
30481	239673	ENSMUSG00000048699	Krt90	0	0	0	0
3419	17436	ENSMUSG00000032418	Me1	531	871	402	190
9573	56538	ENSMUSG00000067616	Klk11	0	0	0	2
13310	67075	ENSMUSG00000031232	Magt1	982	953	425	426
20514	84004	ENSMUSG00000032135	Mcam	354	564	423	75
14185	68371	ENSMUSG00000112129	Pbld1	0	0	0	0
14320	68652	ENSMUSG00000015755	Tab2	2931	2140	1181	520
20295	79565	ENSMUSG00000040557	Mettl27	99	85	163	65
28132	212528	ENSMUSG00000001909	Trmt1	995	964	472	318
23065	107305	ENSMUSG00000048832	Vps37c	598	636	546	334
5064	20334	ENSMUSG00000020986	Sec23a	1756	2055	885	269
4514	19401	ENSMUSG00000037992	Rara	1034	1245	1836	818
4251	19014	ENSMUSG00000018160	Med1	834	992	540	243
34918	381201	ENSMUSG00000049562	Ap5b1	54	82	15	26
15247	70369	ENSMUSG00000049792	Bag5	883	986	877	640
14015	68079	ENSMUSG00000002635	Pdcd2l	364	299	202	183
1026	13018	ENSMUSG00000005698	Ctcf	1204	1215	552	278
19128	76915	ENSMUSG00000033752	Mnd1	27	15	30	62
20459	83553	ENSMUSG00000031397	Tktl1	0	1	0	1
13010	66643	ENSMUSG00000047786	Lix1	0	1	8	0
13009	66642	ENSMUSG00000027649	Ctnnbl1	680	709	618	418
30674	241727	ENSMUSG00000027457	Snph	3	2	6	5
34801	379043	ENSMUSG00000053219	Raet1e	15	8	0	10
13904	67905	ENSMUSG00000020253	Ppm1m	949	559	714	512
4296	19084	ENSMUSG00000020612	Prkar1a	13212	16171	10637	4717
6861	26568	ENSMUSG00000027932	Slc27a3	180	128	277	88
6632	23918	ENSMUSG00000062867	Impdh2	2773	2730	1820	1350
29155	226591	ENSMUSG00000040843	Tiprl	1280	1151	899	529
16521	72565	ENSMUSG00000034485	Uaca	1085	485	122	281
36070	407795	ENSMUSG00000074300	Smim31	0	0	0	0
539	12310	ENSMUSG00000030669	Calca	9	1	4	45
51829	102466157	ENSMUSG00000098563	Mir6402	0	0	0	0
28183	213109	ENSMUSG00000048874	Phf3	935	767	361	260
23996	109161	ENSMUSG00000032307	Ube2q2	567	390	209	230
4799	19726	ENSMUSG00000040929	Rfx3	96	153	101	58
9274	55950	ENSMUSG00000047843	Bri3	3070	2054	2463	1780
29871	233040	ENSMUSG00000037463	Fbxo27	2	0	0	0
1527	13859	ENSMUSG00000006276	Eps15l1	645	521	429	241
4336	19146	ENSMUSG00000022857	Tmprss15	0	0	0	0
3293	17187	ENSMUSG00000059436	Max	3967	2250	2899	1656
18815	76260	ENSMUSG00000021013	Ttc8	354	207	248	56
8873	53612	ENSMUSG00000021124	Vti1b	1792	1665	1197	907
9196	54451	ENSMUSG00000054309	Cpsf3	952	1027	618	381
27572	192167	ENSMUSG00000063887	Nlgn1	0	0	0	3
590	12373	ENSMUSG00000027861	Casq2	0	0	1	0
9874	57913	ENSMUSG00000025507	Pidd1	47	52	10	16
12551	65255	ENSMUSG00000042607	Asb4	1	0	0	2
6818	26428	ENSMUSG00000026761	Orc4	578	525	323	177
6785	26390	ENSMUSG00000033902	Mapkbp1	435	520	378	105
15255	70380	ENSMUSG00000023074	Mospd1	341	213	172	108
35815	403171	ENSMUSG00000037307	Banf2	0	0	0	0
1121	13175	ENSMUSG00000027797	Dclk1	766	589	1603	445
17485	74182	ENSMUSG00000027346	Gpcpd1	208	248	276	137
9417	56306	ENSMUSG00000039985	Sinhcaf	645	417	137	62
17467	74159	ENSMUSG00000026781	Acbd5	1283	1039	740	278
