"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-MMU-1236974","R-MMU-1236974","ER-Phagosome pathway",22,0.849803621211556,2.18681410907075,0.000137381508448963,0.0148792560371981,0.0134835363494983,1586,"tags=73%, list=12%, signal=64%","H2-M2/Gm8909/H2-Q6/Gm7030/H2-T23/H2-Q1/H2-Q4/H2-Q10/H2-M3/B2m/H2-K1/Tap1/H2-Q2/Tapbp/Tap2/Vamp8"
"R-MMU-1236977","R-MMU-1236977","Endosomal/Vacuolar pathway",13,0.907050446597412,2.08460041458698,0.000148456057007126,0.0148792560371981,0.0134835363494983,1101,"tags=92%, list=8%, signal=85%","H2-M2/Gm8909/H2-Q6/Gm7030/H2-T23/H2-Q1/H2-Q4/H2-Q10/H2-M3/B2m/H2-K1/H2-Q2"
"R-MMU-380108","R-MMU-380108","Chemokine receptors bind chemokines",35,0.738399856428782,2.07606098461134,0.000129886998311469,0.0148792560371981,0.0134835363494983,1572,"tags=54%, list=12%, signal=48%","Cxcl10/Ccl17/Ccr7/Ccl5/Ccl22/Ccr8/Cxcr5/Cxcl1/Cxcl9/Ccrl2/Ackr4/Ccl27a/Ccl3/Ccl4/Cxcl11/Cxcr3/Cxcl16/Ccl11/Cxcl12"
"R-MMU-198933","R-MMU-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",71,0.650239243607845,2.03769148951162,0.000118077695123391,0.0148792560371981,0.0134835363494983,1858,"tags=56%, list=14%, signal=49%","Slamf7/Crtam/Klrk1/H2-M2/Cd247/Gm8909/Cd96/Cd3e/H2-Q6/Cd300a/Gm7030/H2-T23/C3/Cd1d1/Col1a1/Cd22/Cd300e/H2-Q1/Cd8b1/H2-Q4/Treml4/H2-Q10/Cd3g/H2-M3/Ifitm3/B2m/H2-K1/Cd300c2/Cd3d/Hcst/H2-Q2/Cd40/Itgal/Trem2/Cd8a/Icam2/Ifitm2/Fcgr4/Cd300lg/Lair1"
"R-MMU-166658","R-MMU-166658","Complement cascade",21,0.762024462167244,1.94189840284363,0.000138255219134522,0.0148792560371981,0.0134835363494983,2003,"tags=62%, list=15%, signal=53%","Vtn/C1s2/C1ra/C4b/C3/Serping1/C1qa/Clu/Masp1/C8g/C1qb/C2/C1qc"
"R-MMU-202427","R-MMU-202427","Phosphorylation of CD3 and TCR zeta chains",12,0.86004035419084,1.93897673617319,0.000149992500374981,0.0148792560371981,0.0134835363494983,1047,"tags=58%, list=8%, signal=54%","H2-Eb2/Cd247/Cd4/Cd3e/Cd3g/Lck/Cd3d"
"R-MMU-977606","R-MMU-977606","Regulation of Complement cascade",19,0.772607754839501,1.92849998872825,0.000140548137737175,0.0148792560371981,0.0134835363494983,2003,"tags=63%, list=15%, signal=54%","Vtn/C1s2/C1ra/C4b/C3/Serping1/C1qa/Clu/C8g/C1qb/C2/C1qc"
"R-MMU-202433","R-MMU-202433","Generation of second messenger molecules",19,0.772149823002928,1.92735694876245,0.000140548137737175,0.0148792560371981,0.0134835363494983,1435,"tags=58%, list=11%, signal=52%","H2-Eb2/Cd247/Cd4/Cd3e/Itk/Cd3g/Pak3/Lck/Cd3d/Grap2/Zap70"
"R-MMU-389948","R-MMU-389948","PD-1 signaling",13,0.836436705378165,1.92231458498029,0.000148456057007126,0.0148792560371981,0.0134835363494983,1047,"tags=69%, list=8%, signal=64%","H2-Eb2/Cd247/Cd4/Cd3e/Pdcd1/Pdcd1lg2/Cd3g/Lck/Cd3d"
"R-MMU-1236975","R-MMU-1236975","Antigen processing-Cross presentation",77,0.59567235228963,1.88649441170661,0.000116414435389988,0.0148792560371981,0.0134835363494983,1627,"tags=31%, list=12%, signal=28%","H2-M2/Gm8909/Psmb9/H2-Q6/Gm7030/H2-T23/Psmb8/Psmb10/H2-Q1/Cd36/H2-Q4/H2-Q10/H2-M3/B2m/H2-K1/Tap1/Cybb/H2-Q2/Psme1/Tapbp/Cyba/Tap2/Vamp8/Psme2"
