"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MTCO2P12",192.058939874419,0.813398702874634,0.248338680018029,3.27536049887832,0.00105527217737394,0.00400140777894317
"MTCO3P12",130.037292227091,0.673983968012678,0.281638980269027,2.3930777173276,0.0167077016443753,0.0455875469054421
"LINC02593",13.5981428830423,2.8031587271924,0.890413153827382,3.14815511781605,0.00164304479114286,0.00594345289428669
"SAMD11",35.5845748634298,2.10310429038654,0.533202750357379,3.94428627567457,8.00379989851284e-05,0.000380958429841261
"NOC2L",2160.45131922003,-0.715468809399679,0.0789144903855695,-9.066380659673,1.23036038099223e-19,2.28850095273971e-18
"PLEKHN1",69.1417823513576,-1.11967027010219,0.368759223114383,-3.03631800893259,0.00239486632876405,0.00830887885863412
"ISG15",880.827303367202,1.51371436067837,0.282992605923066,5.34895375001385,8.84641431119693e-08,6.57690613001679e-07
"ATAD3B",317.290490544162,-0.814554191622543,0.168779968773005,-4.82613071648361,1.39211156516512e-06,8.7474035916307e-06
"ATAD3A",1445.70461663887,-0.502627233203935,0.100253949875737,-5.01354045229074,5.34375264650798e-07,3.55995939019818e-06
"MIB2",700.28419032722,0.594648401206757,0.120791518107267,4.92293176312834,8.52571875580745e-07,5.52451780202777e-06
"NADK",3356.80238153503,0.562802796514863,0.0730187467554086,7.70764798798981,1.28157655946387e-14,1.77566117737962e-13
"TNFRSF14",423.952586254943,0.821220158628933,0.153414359279681,5.35295498077732,8.65293830249238e-08,6.4458995753629e-07
"KCNAB2",236.976115183478,0.658624940173632,0.209634425883017,3.14177853851717,0.00167924998580366,0.00605243189863984
"RNF207",35.40178653465,1.86789576892004,0.56416812117024,3.3108849983326,0.000930014208146833,0.00356995430811645
"GPR153",3549.4277212999,-1.10376335388311,0.0683113489165521,-16.1578327962964,1.00016447774174e-58,6.58081790288574e-57
"ACOT7",6327.0998050689,-1.02172422276301,0.0635998297613597,-16.0648892708792,4.49666664539681e-58,2.90745510890246e-56
"PER3",489.718400951928,0.814143787836121,0.150031819494756,5.42647413447238,5.74781500990442e-08,4.40253153784269e-07
"ERRFI1",13855.8812294881,-1.68530676846469,0.0485188600867012,-34.735085808964,2.32798412300691e-264,1.65575099339196e-261
"H6PD",2414.02726707786,0.579543077289181,0.0778078732607088,7.4483860437532,9.44889948760524e-14,1.2325656135098e-12
"SPSB1",726.973130149193,-1.14383099374351,0.124438920238734,-9.19190709425227,3.85937332158366e-20,7.361890157238e-19
"PIK3CD",345.435926580139,0.634432416780662,0.170389454380052,3.72342536742659,0.000196537977776102,0.000872619273502929
"SRM",2731.74876535975,-0.623931515787774,0.0726253782006287,-8.59109489336019,8.61444491716501e-18,1.45384575460765e-16
"FBXO2",69.4397120402037,1.80676583859475,0.391608820257948,4.61370057345657,3.95562171900901e-06,2.3251147577772e-05
"FBXO44",299.039286738422,0.625066848314617,0.180741988855555,3.45833777902132,0.000543519479679396,0.0021916865411694
"FBXO6",172.060581805144,0.621851561892415,0.25013129810326,2.48610056641412,0.0129151462797333,0.0364100839626457
"DRAXIN",1678.69418412878,2.3416299741909,0.205742561287039,11.3813591098635,5.17863082317359e-30,1.58500061424018e-28
"MTHFR",307.372987257074,0.552457598539732,0.173887700003182,3.17709417359377,0.00148758722790849,0.00543374977648353
"CLCN6",814.285271946979,0.558209381629464,0.117512129968478,4.75022775758724,2.03187670708691e-06,1.25095261735573e-05
"TNFRSF1B",495.002210588635,0.602002110953639,0.139006998830716,4.33073238050957,1.48614215000084e-05,7.97867774295646e-05
"DHRS3",3974.67473977663,0.831962134885879,0.0666442351739703,12.4836324209303,9.1705515543132e-36,3.39038014889163e-34
"KAZN",109.667644119414,-1.53435653166372,0.292292828351797,-5.24938138344265,1.52610828750503e-07,1.09797463305275e-06
"TMEM51",126.287750359536,-0.894658781728549,0.26437826965058,-3.38401027781516,0.000714353290437584,0.00280335805201675
"EFHD2",7968.10457301487,-1.2583568413384,0.0514764017476882,-24.4453147192812,5.64420863415418e-132,1.31721718999573e-129
"FBLIM1",2610.5839281091,-0.811984531050501,0.0705681687536195,-11.5063851789247,1.22506500610594e-30,3.86024703189839e-29
"NBPF1",708.39261360382,0.507016615352963,0.144798143022078,3.50154086765917,0.00046257602098361,0.00189541330740727
"ARHGEF10L",906.764683494958,0.521907216639837,0.106311297834413,4.90923568116669,9.1432042586337e-07,5.90925568182401e-06
"ALDH4A1",277.037828664514,0.871225508549448,0.189997142900359,4.58546636675662,4.52974191862757e-06,2.63253794928488e-05
"MRTO4",1532.3241190528,-0.985805126038426,0.0871783704677936,-11.307909527887,1.19912455720707e-29,3.62553125231676e-28
"NBL1",1146.83890379334,0.742908887927238,0.106620243160748,6.96780335425776,3.21927765866692e-12,3.72737450463947e-11
"PLA2G5",81.7744437863241,1.50150394416784,0.356984763264848,4.20607291592966,2.59846427477964e-05,0.000134665726606901
"ECE1",15730.2035322011,-0.560682416022096,0.0559209957081287,-10.026331057274,1.16775406827427e-23,2.62279319755555e-22
"HSPG2",621.957060117793,0.974152538209611,0.170408356631025,5.716577270438,1.08691057395797e-08,8.97903558221029e-08
"EPHB2",64.263571085752,2.53332581979042,0.409651811752702,6.18409524164324,6.24596513474553e-10,5.95339727202037e-09
"ZNF436",4312.59448537054,1.38690050813918,0.0667186907346799,20.7872860343507,5.64124455081111e-96,7.32675031399259e-94
"ZNF436-AS1",318.300268046472,1.4213152698255,0.186779796340473,7.60957714738398,2.74994127278026e-14,3.72714363432359e-13
"ASAP3",741.331236036057,1.19994351057984,0.136758334048504,8.77418929477641,1.72139458984631e-18,3.04269225963841e-17
"ID3",2258.59319902851,1.76988866768666,0.0775963124505957,22.8089275352294,3.73908772262107e-115,6.810611490862e-113
"GALE",946.493258099322,-1.01891393072261,0.114453546308419,-8.9024234161949,5.46403756677617e-19,9.91626550393304e-18
"FUCA1",1719.76458371027,1.42004308192706,0.0858136452992285,16.5479869428158,1.65546156669026e-61,1.18874874808104e-59
"NIPAL3",1622.45609116936,0.545059722990129,0.086991491947783,6.26566703002752,3.71232831604378e-10,3.59580646747275e-09
"CLIC4",26467.4633761996,-0.699396600421378,0.0459848241223524,-15.209291625439,3.06845403262836e-52,1.69115975761392e-50
"AUNIP",77.3396610525342,-1.05386725451602,0.368879945546387,-2.85693832706201,0.00427748941700057,0.0138556889898765
"SH3BGRL3",6740.44853419183,-1.33826448325283,0.0639622898879961,-20.9227106408519,3.32658325675646e-97,4.55833463512977e-95
"RPS6KA1",264.282891361823,-0.842601098624103,0.18641406356688,-4.52005112973573,6.18246979881814e-06,3.5110786659752e-05
"PIGV",573.574232418275,0.810774830622288,0.136000001172097,5.96157958554954,2.4981119532825e-09,2.21961928222649e-08
"NUDC",3073.83854431284,-0.824736664762281,0.077624193616158,-10.6247372931241,2.28655049387358e-26,6.01266165079152e-25
"GPR3",94.6585799369354,-1.30523519363938,0.320630446428449,-4.07083983501439,4.68439497084502e-05,0.000231829434342416
"IFI6",4112.19212574392,1.61254129065294,0.168516840850187,9.56902160352334,1.07922112402844e-21,2.21722788287328e-20
"PHACTR4",363.77865795593,0.504292898711743,0.213233299744281,2.36498192034975,0.0180309511403402,0.0485506194757744
"RAB42",145.134632074953,1.45957493010423,0.269567934641758,5.41449758126435,6.14610341585914e-08,4.69076140108698e-07
"EPB41",350.777802896356,0.794590160901734,0.165819772211435,4.79189031744998,1.65217222845782e-06,1.02863044619616e-05
"SDC3",2823.95883626962,0.623063600088579,0.0718025174261629,8.67746177185636,4.04699181860825e-18,6.96380988510747e-17
"COL16A1",41.6051250262737,1.46746488747197,0.502128947754424,2.9224861343578,0.00347249081955778,0.0115461092789214
"SPOCD1",1384.64173112781,-2.03767625752783,0.0925164621015637,-22.0250127516862,1.65862771469085e-107,2.60771195227606e-105
"TMEM39B",440.47940829917,-0.868117407153822,0.172475853390176,-5.03326923792608,4.82185163369211e-07,3.22955946192042e-06
"KIAA1522",1038.4235827404,0.547697943115044,0.115359205526637,4.74776105309234,2.05680825000845e-06,1.26525897949449e-05
"YARS1",3596.2325579861,-0.735245104343351,0.0663659999215203,-11.0786412502305,1.59271217112392e-28,4.59242258453802e-27
"RNF19B",644.129124801999,-0.578939837677308,0.125238377587116,-4.62270311091021,3.78771640752531e-06,2.23786915596511e-05
"AK2",3116.98294140797,-0.592171448325198,0.0714447295300551,-8.28852530089132,1.1466117508693e-16,1.81356315204855e-15
"TRIM62",320.869286533522,0.882984337870912,0.182589908199094,4.83588795558249,1.32552574159813e-06,8.35713485711676e-06
"ZNF362",286.430477249888,0.946864397081962,0.187648922961511,5.04593568744422,4.51307207341445e-07,3.03226470933505e-06
"PHC2",7238.17781900593,-0.65533065608281,0.0570140011987774,-11.4942056741119,1.41072736231022e-30,4.41732156886067e-29
"CSMD2",489.601709078788,-1.67186023833967,0.150222377585007,-11.1292356386359,9.04074050810368e-29,2.66336292364964e-27
"C1orf94",52.0168708418968,-3.47820750958411,0.486805481946018,-7.14496372489456,9.00196588129056e-13,1.0886911935462e-11
"GPR199P",67.951545828275,1.02144418765761,0.428764509346712,2.38229649467476,0.017205038618856,0.046671713914136
"NCDN",2409.29073972353,-0.528825823389734,0.0719218275013175,-7.3527862369744,1.94117249697422e-13,2.47383553027363e-12
"CLSPN",497.68222298589,-0.671097698292035,0.164816318621408,-4.07179157928885,4.66529150059562e-05,0.00023103711489687
"COL8A2",136.095178400306,1.62753443034687,0.272682257743515,5.96861139340328,2.39281257992961e-09,2.13112991614959e-08
"STK40",903.226383723194,-0.663644646706029,0.110172789337997,-6.02367109604572,1.70504683396928e-09,1.54436504015556e-08
"GNL2",1288.95127849859,-0.573343272871745,0.0915867897345044,-6.26010884903572,3.8470885295261e-10,3.71669561946972e-09
"YRDC",302.113381272023,-0.653023425668576,0.202370403359025,-3.22687218501042,0.00125151351221542,0.00466382380699836
"UTP11",1116.15187485069,-0.591022343947628,0.0962845475120578,-6.13828863737053,8.34152008928137e-10,7.81121906291577e-09
"MYCBP",280.599746709796,-0.6236767473619,0.185774501478517,-3.35717088404633,0.000787444285087686,0.00306602394214538
"RHBDL2",101.411159984747,0.864872954647713,0.320424908047479,2.69914395830789,0.00695180974778925,0.0212509681524724
"MYCL",12.4943554606184,2.30584839988041,0.904399938123939,2.54958929416071,0.0107849888295207,0.0311214438094517
"MFSD2A",181.942828438864,-0.931771781349499,0.23386730502194,-3.98419001434205,6.77106789912918e-05,0.000326234419810946
"CAP1",17000.821936188,-0.778687713267968,0.0516342756365125,-15.0808296169324,2.1653097722559e-51,1.17177778110196e-49
"COL9A2",113.20176393371,1.37224048482486,0.314792153806946,4.35919532373867,1.30541560458654e-05,7.05926410937893e-05
"SMAP2",1284.68690491243,-1.01805720976676,0.0916409564828821,-11.1091945003534,1.13175787454161e-28,3.29511415480575e-27
"ZFP69B",146.354880291431,-1.62781192010596,0.26188281058927,-6.21580284877489,5.10628843627971e-10,4.90466392824912e-09
"ZFP69",146.985685803555,-1.2784782428275,0.28825057427867,-4.43530163305594,9.19434607729886e-06,5.08241128832479e-05
"CITED4",97.060111807534,-0.920668538663947,0.308804756879012,-2.98139364162923,0.00286939698357107,0.00976026266149339
"CTPS1",1141.63349026176,-1.20656863648124,0.0995208779470243,-12.1237740398904,7.90340467041244e-34,2.75806663918879e-32
"HIVEP3",832.269840825872,-0.658654290520884,0.129839222487931,-5.0728453074502,3.91911083916075e-07,2.65468659835397e-06
"YBX1",20471.1980139983,-0.563607587780399,0.0561709165260355,-10.0337972502045,1.08270835841438e-23,2.43911493835251e-22
"SLC2A1",5951.50427981637,1.09825743518736,0.0708008174492318,15.5119315673844,2.88080588560248e-54,1.68736143950426e-52
"SLC2A1-DT",46.186137074663,1.22427443007604,0.472234836327687,2.59251189428664,0.00952778866467753,0.0279691532027562
"EBNA1BP2",1256.39085508047,-0.740210842251542,0.100580084099464,-7.35941761114002,1.8471431946535e-13,2.36206598932745e-12
"PTPRF",4785.12137984714,0.590598817134576,0.0756260816410967,7.80945943936931,5.74337772291008e-15,8.17760626018922e-14
"IPO13",1810.47477822017,0.597801765504648,0.0855306298400516,6.9893296310641,2.76202789596824e-12,3.21540519518173e-11
"CCDC24",154.5526535285,0.627988860767566,0.246017031199802,2.55262352246478,0.0106914991348628,0.0308755280507175
"SLC6A9",407.99400306186,0.684753194075697,0.170169659901851,4.02394407129122,5.72315141004742e-05,0.000278893929724203
