"","Entrez","Ensembl","HGNC","SU-aGBM5_DMSO_1","SU-aGBM5_DMSO_2","SU-aGBM5_DT24_1","SU-aGBM5_DT24_2","SU-aGBM5_DT48_1","SU-aGBM5_DT48_2"
"18231","84771","ENSG00000223972","DDX11L2",0,1,0,0,0,1
"29423","645520","ENSG00000237613","FAM138A",0,0,0,0,0,0
"16603","79504","ENSG00000268020","OR4G4P",0,0,0,0,0,0
"16602","79501","ENSG00000186092","OR4F5",0,0,0,0,0,0
"42112","100996442","ENSG00000238009","LOC100996442",0,0,0,0,0,1
"37354","100420257","ENSG00000233750","CICP27",0,1,0,0,0,0
"54034","106480049","ENSG00000222623","RNU6-1100P",0,0,0,0,0,0
"30841","728481","ENSG00000228463","RPL23AP21",4,5,2,3,2,2
"30859","728517","ENSG00000236679","RPL23AP24",0,0,0,0,0,0
"43573","101928626","ENSG00000230021","LOC101928626",0,1,0,4,0,0
"42035","100887749","ENSG00000225972","MTND1P23",6,6,19,18,19,25
"40340","100652939","ENSG00000225630","MTND2P28",25,48,49,32,58,48
"56236","107075141","ENSG00000237973","MTCO1P12",2893,3641,4421,4257,5327,5097
"56403","107075310","ENSG00000229344","MTCO2P12",144,122,214,156,283,249
"54785","106480795","ENSG00000240409","MTATP8P1",0,0,0,0,0,0
"54786","106480796","ENSG00000248527","MTATP6P1",33,42,49,46,75,68
"56363","107075270","ENSG00000198744","MTCO3P12",81,109,119,136,186,159
"54076","106480091","ENSG00000223181","RNU6-1199P",0,1,0,0,0,0
"52016","105378580","ENSG00000237491","LINC01409",7,12,12,4,17,24
"26580","400728","ENSG00000177757","FAM87B",9,6,6,12,7,16
"16866","79854","ENSG00000225880","LINC00115",22,17,25,16,28,13
"29002","643837","ENSG00000228794","LINC01128",371,350,246,277,276,319
"23469","284593","ENSG00000230368","FAM41C",0,0,0,0,0,0
"25525","388579","ENSG00000234711","TUBB8P11",0,0,0,0,3,3
"32835","100130417","ENSG00000223764","LINC02593",3,5,7,8,28,36
"20991","148398","ENSG00000187634","SAMD11",17,13,25,22,60,88
"11430","26155","ENSG00000188976","NOC2L",2867,2690,1775,1747,1897,1966
"24208","339451","ENSG00000187961","KLHL17",201,202,139,137,172,153
"17861","84069","ENSG00000187583","PLEKHN1",91,103,47,69,49,53
"18247","84808","ENSG00000187642","PERM1",22,10,14,23,16,12
"15640","57801","ENSG00000188290","HES4",74,87,52,91,72,77
"8741","9636","ENSG00000187608","ISG15",518,322,937,887,1239,1506
"25145","375790","ENSG00000188157","AGRN",8131,8046,8005,9241,11019,12457
"35811","100288175","ENSG00000217801","LOC100288175",18,9,28,23,31,36
"26845","401934","ENSG00000237330","RNF223",0,1,0,0,0,0
"14169","54991","ENSG00000131591","C1orf159",290,207,217,200,262,327
"22675","254099","ENSG00000223823","LINC01342",0,0,0,0,0,0
"27175","406984","ENSG00000207730","MIR200B",0,0,0,0,0,0
"27174","406983","ENSG00000207607","MIR200A",0,0,0,0,0,0
"28377","554210","ENSG00000198976","MIR429",0,0,0,0,0,0
"39158","100506376","ENSG00000205231","TTLL10-AS1",0,0,0,0,0,0
"22682","254173","ENSG00000162571","TTLL10",0,0,0,0,0,0
"8014","8784","ENSG00000186891","TNFRSF18",1,0,0,7,0,3
"6908","7293","ENSG00000186827","TNFRSF4",0,0,1,0,0,0
"13198","51150","ENSG00000078808","SDF4",6032,6202,6857,6644,7594,8221
"19960","126792","ENSG00000176022","B3GALT6",1073,925,990,928,1102,1249
"25526","388581","ENSG00000184163","C1QTNF12",3,6,6,2,3,4
"19543","118424","ENSG00000160087","UBE2J2",1797,1827,1567,1548,1795,2066
