,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
R-HSA-389948,R-HSA-389948,PD-1 signaling,12,0.813929233,1.829424032,0.001263766,0.025638212,0.021309033,1004,"tags=58%, list=7%, signal=54%",HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1/HLA-DRB1/HLA-DQA1
R-HSA-909733,R-HSA-909733,Interferon alpha/beta signaling,54,0.580707655,1.796024019,0.001176471,0.025495545,0.021190456,2937,"tags=61%, list=20%, signal=49%",MX2/IFI27/IFITM1/MX1/RSAD2/IFIT1/OAS1/IFIT2/IFI6/OASL/ISG15/STAT2/IFITM2/SAMHD1/BST2/OAS2/IFIT3/IRF7/GBP2/XAF1/IFITM3/HLA-C/SOCS3/OAS3/USP18/HLA-A/HLA-B/HLA-E/IRF9/STAT1/IRF4/IFIT5/ADAR
R-HSA-3560782,R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,32,0.635255891,1.770116198,0.00209351,0.032612235,0.027105447,2380,"tags=44%, list=16%, signal=37%",OMD/DCN/CSPG5/SDC2/GPC4/GPC6/LUM/HSPG2/CHST14/CHST3/GPC2/HEXA/SDC3/B4GALT1
R-HSA-202433,R-HSA-202433,Generation of second messenger molecules,18,0.692084165,1.708840526,0.006409115,0.076799825,0.063831674,1004,"tags=50%, list=7%, signal=47%",HLA-DRA/HLA-DPB1/HLA-DPA1/ENAH/HLA-DRB5/HLA-DQB1/HLA-DRB1/WAS/HLA-DQA1
R-HSA-202427,R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,13,0.737204537,1.688203941,0.008612955,0.094338776,0.078409059,1004,"tags=69%, list=7%, signal=65%",HLA-DRA/HLA-DPB1/HLA-DPA1/PTPRC/HLA-DRB5/PTPRJ/HLA-DQB1/HLA-DRB1/HLA-DQA1
R-HSA-445355,R-HSA-445355,Smooth Muscle Contraction,37,0.584028528,1.677464568,0.004980251,0.062903707,0.052282006,2054,"tags=32%, list=14%, signal=28%",CACNA1G/GUCY1A2/PDE5A/LMOD1/ALDH2/CACNA1I/ACTG2/CALD1/MYL9/MYL5/VCL/ANXA6
R-HSA-2024096,R-HSA-2024096,HS-GAG degradation,19,0.658939155,1.645784725,0.01079455,0.102173638,0.084920953,4157,"tags=79%, list=28%, signal=57%",SDC2/GPC4/GPC6/HSPG2/HPSE/SGSH/GLB1/IDUA/GPC2/NAGLU/SDC3/HGSNAT/GLB1L/AGRN/GUSB
R-HSA-166658,R-HSA-166658,Complement cascade,21,0.638245558,1.62757764,0.012879323,0.10950115,0.091011167,2755,"tags=67%, list=19%, signal=54%",CFI/C4B/C1S/C1R/C3/C4A/SERPING1/CFD/CFHR1/CLU/CFH/CD81/PROS1/MASP2
R-HSA-4420332,R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,16,0.662078094,1.599962134,0.021631206,0.145802646,0.121182918,2269,"tags=50%, list=15%, signal=42%",DCN/CSPG5/SDC2/GPC4/GPC6/HSPG2/GPC2/SDC3
R-HSA-1638091,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,46,0.530727979,1.59334103,0.010629323,0.102173638,0.084920953,2323,"tags=39%, list=16%, signal=33%",NDST4/DCN/CSPG5/HS6ST1/SDC2/GPC4/GPC6/HSPG2/HS6ST3/HPSE/SGSH/B3GAT2/GLB1/IDUA/GPC2/NAGLU/SDC3/HS3ST1
R-HSA-3560801,R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,16,0.658112605,1.590379227,0.02358156,0.153061794,0.127216312,2269,"tags=50%, list=15%, signal=42%",DCN/CSPG5/SDC2/GPC4/GPC6/HSPG2/GPC2/SDC3
