gene_id,BMi48B3,BMi48B4,CTRL48B1,CTRL48B2,TX48h,CTRL48h,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,BMi48B3_count,BMi48B4_count,CTRL48B1_count,CTRL48B2_count,BMi48B3_fpkm,BMi48B4_fpkm,CTRL48B1_fpkm,CTRL48B2_fpkm
ENSG00000041982,587.2116661,739.0392302,12548.47602,11913.03712,663.1254482,12230.75657,-4.204693561,0,0,TNC,9,115019578,115118257,-,9636,protein_coding,tenascin C [Source:HGNC Symbol;Acc:HGNC:5318],-,631,811,12431,10524,4.26824074,5.386513626,90.87343926,85.54357533
ENSG00000112096,15220.97308,16250.66164,1774.613534,1763.636624,15735.81736,1769.125079,3.152906843,0,0,SOD2,6,159669057,159745186,-,16493,protein_coding,superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180],-,16356,17833,1758,1558,64.63887389,69.20037541,7.508391366,7.398967916
ENSG00000137309,577.9056175,693.4757758,8015.034959,8506.886539,635.6906967,8260.960749,-3.699453982,0,0,HMGA1,6,34236873,34246231,+,2327,protein_coding,high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010],HMGI/HMGY,621,761,7940,7515,17.39448422,20.93013229,240.3542518,252.9507383
ENSG00000142627,299.6547646,339.9033698,8042.290115,8425.383435,319.7790672,8233.836775,-4.685890874,0,0,EPHA2,1,16124337,16156087,-,4159,protein_coding,EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386],-,322,373,7967,7443,5.046418807,5.739890552,134.937788,140.1723803
ENSG00000175592,54.90568669,78.36914155,8323.926734,8854.406721,66.63741412,8589.166728,-7.007816904,0,0,FOSL1,11,65892049,65900573,-,1887,protein_coding,"FOS like 1, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:13718]",TF_bZIP,59,86,8246,7822,2.037963729,2.916824176,307.8216205,324.675308
ENSG00000110092,212.1779079,172.2298576,6867.290028,6602.883458,192.2038827,6735.086743,-5.131959817,0,0,CCND1,11,69641087,69654474,+,4830,protein_coding,cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582],-,228,189,6803,5833,3.076833923,2.504369312,99.21584375,94.59064686
ENSG00000128564,191.704601,225.9947338,3570.425522,4052.515477,208.8496674,3811.4705,-4.188927262,1.39599121331026e-258,3.94985742440329e-255,VGF,7,101162509,101165593,-,2704,protein_coding,VGF nerve growth factor inducible [Source:HGNC Symbol;Acc:HGNC:12684],-,206,248,3537,3580,4.965658765,5.869872844,92.14166643,103.7002227
ENSG00000152422,282.9038772,297.9849917,3345.318117,3363.135051,290.4444344,3354.226584,-3.529451019,1.19927190377548e-235,2.96909741577215e-232,XRCC4,5,83077498,83353787,+,2676,protein_coding,X-ray repair cross complementing 4 [Source:HGNC Symbol;Acc:HGNC:12831],-,304,327,3314,2971,7.404637691,7.820694898,87.23566677,86.96007236
ENSG00000175550,1281.442891,1304.026065,8102.85713,8724.228152,1292.734478,8413.542641,-2.702135803,3.97403548466687e-228,8.74552742325689e-225,DRAP1,11,65919257,65921561,+,1737,protein_coding,DR1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:3019],-,1377,1431,8027,7707,51.67142761,52.72584095,325.5225916,347.5272712
ENSG00000134057,795.6671545,862.0605571,5992.096664,6015.381912,828.8638558,6003.739288,-2.856487092,2.21780130251082e-227,4.39257725975293e-224,CCNB1,5,69167010,69178245,+,2558,protein_coding,cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579],-,855,946,5936,5314,21.78622143,23.66869407,163.4635935,162.7137895
